6044783 98575 98633 98664 98660 98660 98648 98660 98655 98653 98649 98651 98643 98654 98645 98640 98618 98665 98652 98637 98644 98652 98639 98651 98640 98653 98652 98634 98748 98629 98619 98649 98628 98617 98600 98570 150.00 
6044793 98583 98640 98659 98664 98668 98645 98655 98653 98654 98649 98650 98642 98661 98639 98647 98622 98666 98653 98632 98640 98649 98634 98646 98642 98653 98648 98631 98745 98635 98616 98659 98629 98617 98600 98570 150.00 
6044803 98574 98634 98660 98661 98657 98651 98651 98644 98655 98644 98642 98642 98659 98641 98645 98622 98658 98653 98638 98639 98646 98635 98652 98649 98659 98646 98632 98746 98635 98623 98657 98631 98617 98600 98570 150.00 
6044813 98583 98631 98665 98666 98672 98647 98652 98648 98650 98648 98649 98637 98659 98642 98644 98623 98665 98652 98630 98639 98648 98637 98656 98651 98655 98644 98636 98747 98629 98621 98654 98623 98617 98600 98570 150.00 
6044823 98583 98642 98662 98662 98662 98643 98656 98648 98653 98651 98646 98638 98662 98638 98639 98627 98661 98655 98631 98645 98653 98638 98654 98643 98661 98652 98629 98751 98628 98617 98656 98629 98617 98600 98570 150.00 
6044833 98578 98634 98675 98663 98662 98648 98651 98647 98650 98647 98644 98639 98660 98635 98635 98625 98659 98649 98626 98636 98652 98635 98647 98647 98654 98648 98638 98748 98626 98624 98651 98628 98617 98600 98570 150.00 
6044843 98577 98636 98669 98670 98670 98648 98649 98655 98647 98651 98652 98635 98658 98644 98633 98624 98653 98649 98629 98634 98648 98635 98650 98651 98659 98654 98636 98749 98632 98622 98653 98627 98617 98600 98570 150.00 
6044853 98588 98631 98664 98654 98661 98647 98651 98650 98657 98653 98648 98639 98656 98639 98640 98613 98666 98650 98626 98643 98653 98637 98652 98641 98651 98658 98633 98754 98629 98616 98657 98633 98617 98600 98570 150.00 
6044863 98583 98635 98662 98660 98671 98647 98658 98647 98652 98646 98638 98642 98663 98640 98637 98621 98658 98655 98626 98640 98644 98631 98645 98649 98653 98655 98639 98749 98634 98624 98646 98638 98617 98600 98570 150.00 
6044873 98582 98636 98668 98667 98669 98639 98650 98647 98656 98648 98643 98646 98660 98640 98634 98614 98667 98657 98632 98628 98647 98636 98652 98650 98654 98650 98641 98741 98635 98618 98654 98625 98617 98600 98570 150.00 
6044883 98580 98635 98669 98663 98667 98639 98659 98649 98647 98642 98641 98641 98660 98639 98639 98618 98665 98655 98635 98644 98653 98637 98648 98649 98660 98652 98633 98746 98631 98623 98649 98631 98617 98600 98570 150.00 
6044893 98572 98634 98667 98662 98668 98645 98656 98650 98650 98646 98647 98644 98655 98644 98638 98620 98659 98652 98630 98635 98643 98641 98650 98647 98654 98654 98634 98747 98635 98616 98657 98633 98617 98600 98570 150.00 
6044903 98579 98628 98667 98666 98666 98642 98650 98649 98651 98650 98646 98638 98659 98640 98635 98616 98666 98646 98639 98645 98647 98637 98648 98644 98655 98661 98632 98743 98634 98624 98657 98631 98617 98600 98570 150.00 
6044913 98588 98630 98670 98663 98663 98647 98660 98645 98652 98648 98643 98644 98656 98639 98642 98623 98667 98646 98638 98640 98650 98642 98657 98643 98653 98657 98638 98750 98636 98617 98658 98630 98617 98600 98570 150.00 
6044923 98584 98627 98666 98664 98666 98644 98655 98645 98653 98650 98644 98632 98659 98644 98640 98623 98660 98647 98627 98640 98652 98636 98650 98646 98662 98654 98639 98746 98634 98618 98654 98634 98617 98600 98570 150.00 
