1739500 99003 99126 99042 99091 99102 1003.01 
1739510 98993 99140 99041 99093 99105 1003.01 
1739520 98993 99137 99039 99093 99109 1003.01 
1739530 99000 99131 99029 99090 99106 1003.01 
1739540 99002 99135 99041 99092 99100 1003.01 
1739550 99004 99142 99033 99093 99102 1003.01 
1739560 98994 99136 99037 99088 99104 1003.01 
1739570 98994 99136 99039 99094 99104 1003.01 
1739580 99000 99134 99043 99098 99103 1003.01 
1739590 99000 99128 99028 99086 99101 1003.01 
1739600 98999 99137 99042 99098 99103 1003.01 
1739610 98995 99135 99034 99092 99112 1003.01 
1739620 98997 99133 99036 99091 99105 1003.01 
1739630 98998 99135 99035 99090 99096 1003.01 
1739640 98999 99133 99036 99092 99103 1003.01 
1739650 99002 99137 99039 99093 99105 1004.02 
1739660 98998 99138 99040 99097 99108 1003.01 
1739670 99000 99133 99031 99085 99104 1003.01 
1739680 99003 99137 99034 99097 99109 1003.01 
1739690 99003 99140 99035 99094 99099 1003.01 
1739700 98999 99133 99031 99098 99098 1003.01 
1739710 98996 99129 99028 99101 99101 1003.01 
1739720 98997 99133 99036 99091 99108 1003.01 
1739730 98994 99131 99043 99090 99108 1003.01 
1739740 99000 99131 99036 99097 99108 1003.01 
1739750 98995 99131 99039 99093 99104 1004.02 
1739760 99001 99134 99036 99088 99102 1003.01 
1739770 99006 99137 99036 99090 99101 1003.01 
1739780 98999 99135 99034 99090 99099 1003.01 
1739790 98999 99135 99035 99086 99109 1003.01 
1739800 99000 99131 99036 99090 99103 1003.01 
1739810 99003 99134 99038 99091 99106 1003.01 
1739820 98998 99136 99035 99092 99106 1003.01 
1739830 99003 99131 99040 99086 99101 1003.01 
1739840 98993 99136 99031 99092 99110 1004.02 
1739850 98999 99131 99041 99091 99108 1002.00 
1739860 99003 99130 99034 99088 99102 1003.01 
1739870 99000 99137 99033 99094 99102 1003.01 
1739880 99005 99137 99041 99097 99106 1003.01 
1739890 98999 99136 99032 99091 99104 1003.01 
1739900 98994 99137 99036 99086 99112 1003.01 
1739910 98998 99135 99032 99097 99104 1003.01 
1739920 99001 99135 99028 99093 99105 1003.01 
1739930 99002 99133 99043 99098 99102 1003.01 
1739940 99005 99134 99035 99092 99106 1003.01 
1739950 98999 99134 99029 99100 99101 1003.01 
1739960 99000 99135 99029 99088 99106 1003.01 
1739970 99005 99130 99033 99093 99108 1003.01 
1739980 99000 99131 99035 99104 99104 1003.01 
1739990 99000 99134 99032 99094 99111 1003.01 
1740000 98994 99133 99035 99092 99109 1003.01 
1740010 99004 99141 99038 99095 99101 1003.01 
1740020 98998 99141 99037 99100 99106 1003.01 
1740030 98998 99131 99034 99088 99103 1003.01 
1740040 98995 99131 99032 99091 99105 1003.01 
1740050 99004 99140 99039 99098 99109 1003.01 
1740060 98999 99136 99036 99093 99105 1003.01 
1740070 98998 99138 99043 99091 99104 1003.01 
1740080 98997 99126 99033 99098 99105 1003.01 
1740090 98995 99137 99032 99091 99104 1003.01 
1740100 98993 99128 99037 99098 99101 1003.01 
1740110 99000 99135 99032 99093 99104 1003.01 
1740120 99001 99131 99039 99088 99097 1003.01 
1740130 99001 99135 99030 99097 99103 1003.01 
1740140 98999 99134 99040 99094 99104 1003.01 
1740150 99000 99128 99033 99091 99104 1003.01 
1740160 98995 99135 99039 99091 99102 1003.01 
1740170 99000 99135 99039 99095 99110 1003.01 
1740180 99007 99138 99033 99087 99103 1003.01 
1740190 99001 99137 99041 99094 99106 1003.01 
1740200 98999 99134 99029 99093 99106 1003.01 
1740210 98998 99137 99039 99090 99108 1003.01 
1740220 98999 99136 99040 99097 99104 1003.01 
1740230 98995 99131 99040 99095 99103 1003.01 
1740240 99000 99136 99037 99099 99109 1003.01 
1740250 99001 99134 99026 99094 99105 1003.01 
1740260 98999 99131 99034 99093 99109 1003.01 
1740270 99002 99135 99041 99085 99102 1003.01 
1740280 98992 99130 99032 99095 99106 1003.01 
1740290 99009 99138 99036 99093 99102 1003.01 
1740300 98988 99134 99034 99088 99108 1003.01 
1740310 99001 99141 99037 99097 99105 1003.01 
1740320 98993 99141 99032 99093 99109 1003.01 
1740330 99004 99135 99039 99089 99105 1003.01 
1740340 98998 99139 99035 99090 99104 1003.01 
1740350 98994 99136 99034 99087 99106 1003.01 
1740360 99002 99140 99037 99093 99097 1003.01 
1740370 99004 99140 99039 99084 99108 1003.01 
1740380 99001 99133 99027 99090 99111 1003.01 
1740390 98997 99134 99029 99093 99105 1003.01 
1740400 98999 99134 99036 99092 99106 1003.01 
1740410 99000 99138 99035 99092 99103 1003.01 
1740420 98999 99138 99039 99092 99101 1003.01 
1740430 99009 99137 99040 99097 99109 1003.01 
1740440 98995 99141 99034 99092 99109 1003.01 
1740450 99001 99131 99039 99093 99104 1003.01 
1740460 98999 99137 99037 99092 99101 1004.02 
